IA,IB,IC,VA,VB,VC
4294967084,4294967084,4294967084,4294966174,4294966204,4294967295
4294967084,4294967084,4294967084,7672,8768,6576
4294967084,4294967084,4294967084,4294967273,4294967249,4294967239
4294967084,4294967084,4294967084,4294960713,4294966190,4294961796
4294967084,4294967084,4294967084,6575,4379,4294966200
4294967084,4294967084,4294967084,7260472,10991606,4276744804
4294967084,4294967084,4294967084,5643520,12341434,4277033893
4294967084,4294967084,4294967084,9275643,9129368,4276634569
4294967084,4294967084,4294967084,4276644411,9227208,9154880
4294967084,4294967084,4294967084,4286896844,18471563,4284669283
4294967084,4294967084,4294967084,15158162,1482192,4278337908
4294967109,4294967084,4294967084,3322769,14090776,4277618500
4294967084,4294967084,4294967084,8771,5481,12060
4294967084,4294967084,4294967084,13155,7673,10961
4294967084,4294967084,4294967084,4294967294,4294967295,12060
4294967084,4294967084,4294967084,4294966187,4294965106,4294958533
4294967084,4294967084,4294967084,13154,5468,12064
4294967084,4294967084,4294967084,8817,6603,6610
4294967084,4294967084,4294967084,4294967295,4294964006,4294962911
4294967084,4294967084,4294967084,4294962911,4294962911,4294962911
4294967084,4294967084,4294967084,6567,4382,4409
4294967084,4294967084,4294967084,12065,6581,4294966209
