IA,IB,IC,VA,VB,VC
4294967084,4294967084,4294967084,4294966216,4387,5486
4294967084,4294967084,4294967084,7658,4294965141,4294965133
4294967084,4294967084,4294967084,4294966202,4294961813,4294959625
4294967084,4294967084,4294967084,5451,4355,6522
4294967084,4294967084,4294967084,6556,4372,2184
4294967084,4294967084,4294967084,4294961801,4294965098,4294967273
4294967084,4294967084,4294967084,4294966179,4294965103,4294961795
4294967084,4294967084,4294966999,4294964015,4294966232,4294961834
4294967084,4294967084,4294967084,4389,4388,5482
4294967084,4294967084,4294967084,4294965107,4294964010,4294965106
4294967084,4294967084,4294967084,6590,4294966205,9878
4294967084,4294967084,4294967084,4294965069,4294967294,4294965110
4294967084,4294967084,4294967084,4294966199,4294966200,4294965107
4294967084,4294967084,4294966929,6576,4391,9864
4294967084,4294967084,4294967084,4294967272,4294965095,4294964003
4294967084,4294967084,4294967084,5475,4294967295,3282
4294967084,4294967084,4294967084,4378,4294967295,4294967294
4294967084,4294967084,4294967084,7688,4294965105,12078
4294967084,4294967084,4294967084,3287,2191,4384
