ITA Abnormal pressure,ITA Device Abnormal,ITA Run Abnormal,ITA UTC,ITA sqNum,ITA stNum,ITA synchronization exception,ITA time interval,ITS Blocking reclosing,ITS BreakA,ITS BreakB,ITS BreakC,ITS Breaker TP Position,ITS TEST,ITS Timestamp,ITS UTC,ITS sqNum,ITS stNum,ITS time interval,LPD Blocking protection,LPD BreakA,LPD BreakB,LPD BreakC,LPD TEST,LPD UTC,LPD sqNum,LPD stNum,LPD time interval,Type of attack,Whether attacked,IA,IB,IC,VA,VB,VC
0,1,0,1567077789,3,36,0,0,0,1,1,1,0,0,1567106604,1567064595,2646,8,5,1,0,0,0,0,1567057776,4011,3,5,17,1,4294967084,4294967084,4294967084,4276715408,7929363,10403684
0,0,0,1567076473,271,35,0,5,0,1,1,1,0,0,1567106609,1567064595,2647,8,5,1,0,0,0,0,1567057776,4012,3,5,0,0,4294967084,4294967084,4294967084,16901048,4280304217,4292640341
0,1,0,1567077789,4,36,0,0,0,1,1,1,0,0,1567106609,1567064595,2647,8,5,1,0,0,0,0,1567057776,4012,3,5,17,1,4294967084,4294967084,4294966931,17801664,4282280037,4289747723
0,0,0,1567076473,272,35,0,5,0,1,1,1,0,0,1567106614,1567064595,2648,8,5,1,0,0,0,0,1567057776,4013,3,5,0,0,4294967084,4294967084,4294967084,4280111924,4293104039,16708756
0,1,0,1567077789,5,36,0,0,0,1,1,1,0,0,1567106614,1567064595,2648,8,5,1,0,0,0,0,1567057776,4013,3,5,17,1,4294967084,4294967084,4294967084,18116413,4288147935,4283624191
0,0,0,1567076473,273,35,0,5,0,1,1,1,0,0,1567106619,1567064595,2649,8,5,1,0,0,0,0,1567057776,4014,3,5,0,0,4294967084,4294967084,4294967084,89837,15917967,4279052615
0,1,0,1567077789,6,36,0,0,0,1,1,1,0,0,1567106619,1567064595,2649,8,5,1,0,0,0,0,1567057776,4014,3,5,17,1,4294967084,4294967084,4294967084,16442537,4293714512,4279755621
0,0,0,1567076473,274,35,0,5,0,1,1,1,0,0,1567106624,1567064595,2650,8,5,1,0,0,0,0,1567057776,4015,3,5,0,0,4294967084,4294967084,4294967084,4290215683,17801419,4282056592
0,1,0,1567077789,7,36,0,1,0,1,1,1,0,0,1567106625,1567064595,2650,8,5,1,0,0,0,0,1567057776,4015,3,5,17,1,4294967084,4294967084,4294967084,4288045808,18260717,4283749773
0,0,0,1567076473,275,35,0,4,0,1,1,1,0,0,1567106629,1567064595,2651,8,5,1,0,0,0,0,1567057776,4016,3,5,0,0,4294967084,4294967084,4294967084,4291776421,4280866853,17216769
0,1,0,1567077789,8,36,0,1,0,1,1,1,0,0,1567106630,1567064595,2651,8,5,1,0,0,0,0,1567057776,4016,3,5,17,1,4294967084,4294967084,4294967084,4276870943,6615666,11524523
0,0,0,1567076473,276,35,0,4,0,1,1,1,0,0,1567106634,1567064595,2652,8,5,1,0,0,0,0,1567057776,4017,3,5,0,0,4294967084,4294967084,4294967084,11564351,6558223,4276854595
0,1,0,1567077789,9,36,0,1,0,1,1,1,0,0,1567106635,1567064595,2652,8,5,1,0,0,0,0,1567057776,4017,3,5,17,1,4294967084,4294967084,4294967084,4277530794,3902650,13563362
0,0,0,1567076473,277,35,0,4,0,1,1,1,0,0,1567106639,1567064595,2653,8,5,1,0,0,0,0,1567057776,4018,3,5,0,0,4294967084,4294967084,4294967084,9558862,8802387,4276629064
0,0,0,1567076473,278,35,0,5,0,1,1,1,0,0,1567106644,1567064595,2654,8,5,1,0,0,0,0,1567057776,4019,3,5,0,0,4294967084,4294967084,4294967084,4280792564,17227898,4292038038
0,0,0,1567076473,279,35,0,5,0,1,1,1,0,0,1567106649,1567064595,2655,8,5,1,0,0,0,0,1567057776,4020,3,5,0,0,4294967084,4294967084,4294967084,8322196,4276558787,9975582
