IA,IB,IC,VA,VB,VC
4294967084,4294967084,4294967084,4294961897,4294960775,4294967273
4294966928,4294967084,4294967084,6582,5470,7666
4294967084,4294967084,4294967084,4294962911,4294964012,4294967295
4294967084,4294967084,4294967084,4294966198,4294960716,4294961811
4294967084,4294967084,4294967084,4294966234,4294962952,4294961890
4294967084,4294967084,4294967084,4294966194,4294965104,4294967282
4294967084,4294967084,4294967084,4294966205,4294960723,4294964018
4294967084,4294967084,4294967084,4294962913,4294964007,4294965105
4294967084,4294967084,4294967084,5461,2177,1093
4294967084,4294967084,4294967084,4294959620,4294959622,4294961814
4294967084,4294967084,4294967084,4294958515,4294964003,4294967290
4294967084,4294967084,4294967084,4294966198,4294962905,4294961805
4294967084,4294967084,4294967084,6578,5461,10945
4294967084,4294967084,4294967084,4294962907,4294965119,4294965063
4294967084,4294967084,4294967084,4294964005,4294964007,4294965103
4294967084,4294967084,4294967084,4358,4294965098,5464
4294967084,4294967084,4294967084,4368,4294965100,3274
4294967084,4294967084,4294967084,5423,4294967290,4294967282
4294967084,4294967084,4294967084,4294965107,4294966197,4294967292
4294967084,4294967084,4294967084,4294966200,4294962922,4294962951
4294967084,4294967084,4294967084,4294958590,4294961844,4294961854
4294967084,4294967084,4294967084,4294961862,4294959686,4294959728
4294967084,4294967084,4294967084,4294965105,4294965104,6574
4294967084,4294967084,4294967084,4294966193,4294962907,4294960718
4294967084,4294967084,4294967084,4294957436,4294962908,4294960725
4294966999,4294967084,4294967084,4294964007,4294965104,4294967295
4294967084,4294967084,4294967084,4294963985,4294965099,4294965109
4294967084,4294967084,4294967084,4294966193,4294963984,4294966154
4294967084,4294967084,4294967084,5484,4294965102,4388
4294967084,4294967084,4294967084,4294966200,4294967295,4294966196
4294967084,4294967084,4294967084,4294966201,4294965100,4294965104
4294967084,4294967084,4294967084,7606,4294965084,3255
4294967084,4294967084,4294967084,8765,4294967294,4294967293
4294967084,4294967084,4294967084,8770,4383,5482
4294967084,4294967084,4294967084,4294966204,4294965104,4294964008
4294967084,4294967000,4294967084,9860,4385,6571
4294967084,4294966998,4294967084,4370,3284,5443
4294966998,4294967084,4294967084,4294965096,4294965100,4294965107
4294967084,4294966977,4294967084,4294966200,4294965092,8680
4294967084,4294967084,4294967084,4294959695,4294965136,4294965142
4294967084,4294967084,4294967084,4294957552,4294965090,4294965136
4294967084,4294967084,4294967084,13044,4294965110,8699
4294967084,4294967084,4294967084,4294965074,4294962906,4294961785
4294967084,4294967084,4294967084,4294962901,4294965106,4294961805
4294967084,4294967084,4294967084,4294965102,4294962909,4294965104
4294967084,4294967084,4294967084,4294966245,4294965115,4294967295
4294967084,4294967084,4294967084,4294962909,4294967295,4294964007
4294967084,4294967084,4294967084,4294965112,4294967294,3297
4294967084,4294967084,4294967084,4294966200,4294965102,4294961822
4294967084,4294967084,4294967084,7549,4294967261,6458
4294967084,4294967084,4294967084,6483,3179,4294967262
4294967084,4294967084,4294967084,4294957417,4294967295,4294959612
4294967084,4294967084,4294967084,10964,4294965117,5452
4294967084,4294967084,4294967084,5485,1100,6573
4294967084,4294967084,4294967084,9867,4349,3269
4294967084,4294967084,4294967084,5492,4385,7678
4294967084,4294967084,4294967084,4294966179,4294967281,4294965090
4294967084,4294967084,4294967084,4294966204,4294967294,4294962911
4294966929,4294967084,4294967084,4384,2190,3287
4294967084,4294967084,4294967084,10953,4294967294,5476
4294967084,4294967084,4294967084,4294965103,4294965105,4294967295
4294967084,4294967084,4294967084,4294966200,4294965104,4294965100
4294967084,4294967084,4294967084,4294961821,4294967291,4294962907
4294967084,4294967084,4294967084,3267,4294966182,4352
4294967084,4294967109,4294967084,4294965080,4294966190,4294966168
4294967084,4294967084,4294967084,6616,4294965104,4294967291
4294967084,4294967084,4294967084,5481,3291,5479
4294967084,4294967084,4294967084,4294964006,4294965104,4294961812
4294967084,4294967084,4294967084,4294964021,4294965113,4294967286
4294967084,4294967084,4294967084,4294956412,4294964033,4294965096
4294967084,4294967084,4294967084,5475,4294966195,4294967293
4294967084,4294967084,4294967084,4294966200,4294966193,4294965107
4294967084,4294967084,4294967084,5466,4396,5493
4294967084,4294967084,4294967084,13121,3271,7653
4294967084,4294967084,4294967084,4294962959,4294966236,4294966248
4294967084,4294967084,4294967084,4294966194,4294967294,4294965104
4294967084,4294967084,4294967084,4294965103,4294965102,4294967295
4294967084,4294967084,4294967084,7647,4386,5482
4294967084,4294967084,4294967084,4294962906,4294964005,4294961810
4294967084,4294967084,4294967084,6624,4294967295,4437
4294967084,4294967084,4294967084,4294966220,4294965114,4294965114
4294967084,4294967084,4294967084,4294962854,4294965075,4294965110
4294967084,4294967084,4294967084,4294966197,3289,7673
4294967084,4294967084,4294967084,4294964002,4294965104,4294967293
4294967084,4294967084,4294967084,4294964000,4294967276,4294967276
4294967084,4294967084,4294967084,4294958539,4294965100,4294964002
4294967084,4294967084,4294967084,4294966204,4294964012,4294965108
4294967084,4294967084,4294967084,4294966203,4294967285,4294965119
4294967084,4294967084,4294967084,12093,5475,6596
